"","entry_id","start_year","end_year","end_year_assumed","ithaID","count","value","recomputed","score","bias_flag","region_comment","diagnostic_method","comments","MultiLocation","Qualified","RecalculateDetails","MaxADM","globin_phenotype","name","geoboundary_key","geo_admin0","geo_admin1","geo_admin2","longitude","latitude","recruitment_site","measure_name","cause_name","metric_name","source_id","n_female","n_male","sample_size","sample_size_comment","consaguinity","status_group","nationality","nationality_comment","race","age_group_name","min_age","max_age","sex_group_name","ethnicity_name","religion_name","locus","pmid","report","doi","curated_by","comment","id"
"1","1","2017",2019,"0","NULL",3,0.0385,"yes","1","Low","NULL","Biochemical/Hematological Diagnosis with HbA2 measurement","NULL","No","Yes","NULL","Site","NULL","Kadiogo","bf|92566538B47810894311900|67063806B29606811936927","bf","92566538B47810894311900","67063806B29606811936927","2.5267","48.8334","Saint Camille Hospital","Carrier prevalence","Hemoglobin E Disease","percent","9","5428","2361",7789,"NULL","NULL","Screening Population","21","assumed","NULL","Other","1yr","40yr","Both","NULL","NULL","NULL","NULL","NULL","10.29245/2690-0009/2020/1.1109","Mikaella Kontopoulou","NULL",1
"2","2","2017",2019,"0","NULL",1315,16.883,"no","1","Low","NULL","Biochemical/Hematological Diagnosis with HbA2 measurement","NULL","No","Yes","NULL","Site","NULL","Kadiogo","bf|92566538B47810894311900|67063806B29606811936927","bf","92566538B47810894311900","67063806B29606811936927","2.5267","48.8334","Saint Camille Hospital","Carrier prevalence","Hemoglobin C Disease","percent","9","5428","2361",7789,"NULL","NULL","Screening Population","21","assumed","NULL","Other","1yr","40yr","Both","NULL","NULL","NULL","NULL","NULL","10.29245/2690-0009/2020/1.1109","Mikaella Kontopoulou","NULL",2
"3","3","2017",2019,"0","NULL",223,2.863,"yes","NULL","Quality not appraised","NULL","Biochemical/Hematological Diagnosis with HbA2 measurement","NULL","No","NULL","NULL","Site","NULL","Kadiogo","bf|92566538B47810894311900|67063806B29606811936927","bf","92566538B47810894311900","67063806B29606811936927","2.5267","48.8334","Saint Camille Hospital","Prevalence","Sickle Cell Disease-SS","percent","9","5428","2361",7789,"NULL","NULL","Screening Population","21","assumed","NULL","Other","1yr","40yr","Both","NULL","NULL","NULL","NULL","NULL","10.29245/2690-0009/2020/1.1109","Mikaella Kontopoulou","NULL",3
"4","4","2017",2019,"0","NULL",799,10.258,"no","1","Low","NULL","Biochemical/Hematological Diagnosis with HbA2 measurement","NULL","No","Yes","NULL","Site","NULL","Kadiogo","bf|92566538B47810894311900|67063806B29606811936927","bf","92566538B47810894311900","67063806B29606811936927","2.5267","48.8334","Saint Camille Hospital","Carrier prevalence","Sickle Cell Disease-SS","percent","9","5428","2361",7789,"NULL","NULL","Screening Population","21","assumed","NULL","Other","1yr","40yr","Both","NULL","NULL","NULL","NULL","NULL","10.29245/2690-0009/2020/1.1109","Mikaella Kontopoulou","NULL",4
"5","5","2000",2004,"0","NULL",41,1751,"yes","0.83","Low","NULL","Biochemical/Hematological Diagnosis without HbA2 measurement","NULL","No","No","NULL","ADM2","NULL","Kadiogo","bf|92566538B47810894311900|67063806B29606811936927","bf","92566538B47810894311900","67063806B29606811936927","-1.50207127320582","12.3226645397614","NULL","Incidence","Sickle Cell Disease","rate","10","NULL","NULL",2341,"NULL","NULL","Unspecified","21","assumed","NULL","Neonates","NULL","NULL","Unspecified","NULL","NULL","NULL","19103858","NULL","10.1136/jcp.2008.058966","Mikaella Kontopoulou","NULL",5
"6","6","2006",2009,"1","NULL",5,9.434,"yes","NULL","Quality not appraised","NULL","Biochemical/Hematological Diagnosis without HbA2 measurement","NULL","No","NULL","NULL","ADM2","NULL","Kadiogo","bf|92566538B47810894311900|67063806B29606811936927","bf","92566538B47810894311900","67063806B29606811936927","-1.50207127320582","12.3226645397614","NULL","Prevalence","Sickle Cell Disease-SC","percent","10","NULL","NULL",53,"Cohort includes: individuals suspected to be carriers/patients of hemoglobinopathies","NULL","Screening Population","21","assumed","NULL","Neonates","NULL","NULL","Unspecified","NULL","NULL","NULL","19103858","NULL","10.1136/jcp.2008.058966","Mikaella Kontopoulou","NULL",6
"7","7","2006",2009,"1","NULL",1,1.8868,"yes","NULL","Quality not appraised","NULL","Biochemical/Hematological Diagnosis without HbA2 measurement","NULL","No","NULL","NULL","ADM2","NULL","Kadiogo","bf|92566538B47810894311900|67063806B29606811936927","bf","92566538B47810894311900","67063806B29606811936927","-1.50207127320582","12.3226645397614","NULL","Prevalence","Sickle Cell Disease-SS","percent","10","NULL","NULL",53,"Cohort includes: individuals suspected to be carriers/patients of hemoglobinopathies","NULL","Screening Population","21","assumed","NULL","Neonates","NULL","NULL","Unspecified","NULL","NULL","NULL","19103858","NULL","10.1136/jcp.2008.058966","Mikaella Kontopoulou","NULL",7
"8","8","NULL",2022,"1","NULL",4,1.6,"no","1","Low","NULL","Biochemical/Hematological Diagnosis without HbA2 measurement","NULL","No","Yes","NULL","ADM2","NULL","Bida","ng|2878026B30047390588298|72505758B47233926198977","ng","2878026B30047390588298","72505758B47233926198977","6.01542317189275","9.09565414709734","NULL","Carrier prevalence","Hemoglobin C Disease","percent","11","124","130",254,"NULL","20","Unspecified","164","declared","NULL","Neonates","NULL","NULL","Both","Mixed/Multiple","NULL","NULL","NULL","NULL","10.22541/au.166114803.30410469","Mikaella Kontopoulou","NULL",8
"9","9","NULL",2022,"1","NULL",59,23.2,"no","1","Low","NULL","Biochemical/Hematological Diagnosis without HbA2 measurement","NULL","No","Yes","NULL","ADM2","NULL","Bida","ng|2878026B30047390588298|72505758B47233926198977","ng","2878026B30047390588298","72505758B47233926198977","6.01542317189275","9.09565414709734","NULL","Carrier prevalence","Sickle Cell Disease-SS","percent","11","124","130",254,"NULL","20","Unspecified","164","declared","NULL","Neonates","NULL","NULL","Both","Mixed/Multiple","NULL","NULL","NULL","NULL","10.22541/au.166114803.30410469","Mikaella Kontopoulou","NULL",9
"10","10","NULL",2022,"1","NULL",3,1200,"yes","1","Low","NULL","Biochemical/Hematological Diagnosis without HbA2 measurement","NULL","No","Yes","NULL","ADM2","NULL","Bida","ng|2878026B30047390588298|72505758B47233926198977","ng","2878026B30047390588298","72505758B47233926198977","6.01542317189275","9.09565414709734","NULL","Incidence","Sickle Cell Disease-SS","rate","11","124","130",254,"NULL","20","Unspecified","164","declared","NULL","Neonates","NULL","NULL","Both","Mixed/Multiple","NULL","NULL","NULL","NULL","10.22541/au.166114803.30410469","Mikaella Kontopoulou","NULL",10
