admin_level,geo_admin0,name,mean,l,u,pmean,ci95,pu,pl,psd
ADM0,ae,United Arab Emirates,232989,111993,294255,3.094260247743238,9.521967412251811,3.9281145930364434,1.3989664215516673,2.5912938402787975
ADM0,al,Albania,260487,120971,338836,10.023863539559962,29.710750024539298,13.099320145132296,4.503260791586218,7.904641081402243
ADM0,bd,Bangladesh,7376193,3197386,9366395,4.26266893120419,13.592774519229604,5.404619858168641,1.85345046496995,3.735353526059927
ADM0,bg,Bulgaria,495629,211792,637660,7.0016270681606505,22.84291294643235,8.999985493580906,2.910875703694209,6.155332506420679
ADM0,bh,Bahrain,61238,30676,77201,4.0609726113257105,11.393635491710862,5.151166808531015,1.9945880360559296,3.130276437281703
ADM0,cn,China,40841327,13979623,48972921,3.8904522087071864,18.056239552359067,4.578292367126671,1.0463471444211143,5.119258830021229
ADM0,cy,Cyprus,166824,100710,211730,12.986316670459235,27.363919677136096,16.534979827248687,7.793428697936697,7.1760277457085175
ADM0,gr,Greece,726051,293343,941923,8.415994239550106,27.03208371102273,10.87689803810111,3.5325752452677976,7.234549235210744
ADM0,in,India,78486826,32582566,99775743,5.124530305225459,17.247663985018903,6.511019342443298,2.089241915394178,4.698217262508666
ADM0,iq,Iraq,2581200,1175631,3280701,5.114175119086666,15.347021102598507,6.49888658717789,2.3655588438985062,4.169290384068964
ADM0,ir,Iran,3815378,1661124,4853801,3.001437220728727,10.724079055829025,3.761236739764699,1.154445777800944,2.977800303915144
ADM0,it,Italy,3212452,1151508,4067139,6.226074584823335,22.02170010269448,7.891916964939399,2.3797831691737845,6.041493695876362
ADM0,jo,Jordan,343535,180161,433860,2.0384199945141224,6.085165858183779,2.5576125029350356,0.9640432969396868,1.6871573392455594
ADM0,kh,Cambodia,132681,53676,164358,0.7292731999500548,2.5533326378549694,0.9030672497913954,0.2920865572302615,0.7283664734704595
ADM0,kr,South Korea,736256,278852,902942,1.440262425537513,5.143786663353382,1.7790276179979347,0.562074065006294,1.4831812991611353
ADM0,lk,Sri Lanka,1392761,575451,1795331,6.31745854426438,21.143581999949856,8.142363710280462,2.526100438822907,5.729495047627767
ADM0,mm,Myanmar [Burma],2762975,1089125,3473066,4.242205907794079,16.69973474615671,5.280792219007886,1.4189417996068552,4.65410656845909
ADM0,mt,Malta,19862,9070,25248,4.137467173260111,12.7470110237077,5.278411910986492,1.8952131978685016,3.4482818131613584
ADM0,my,Malaysia,1975145,790181,2516294,8.047373612440312,28.14559535804228,10.2776088897123,3.1038881978182107,7.602851649037486
ADM0,om,Oman,132274,66792,167639,2.77168081701411,7.962605320311026,3.5027858236869025,1.3451877483714698,2.1717129938697313
ADM0,pk,Pakistan,14381588,4183432,17630255,5.559129151417346,25.087091385354196,6.791058645352846,1.4679487777017013,6.898048432417506
ADM0,ps,Palestine,223198,113935,283642,3.997263456128056,10.635379765585569,5.049558456079628,2.069719910946402,2.868611737865626
ADM0,sa,Saudi Arabia,633645,309367,801673,1.2471764041344435,3.801914860523961,1.5723494247450194,0.5729540125617882,1.050248544311533
ADM0,th,Thailand,1629228,671884,2048221,2.7067020841131337,9.613203223437637,3.3935952051269203,1.0430224332617464,2.6849803890415034
ADM0,tr,Turkey,2035475,995439,2563276,2.3026406187272097,6.698508319636805,2.896789235765842,1.109112388364997,1.851224010281338
