admin_level,geo_admin0,adm0,geo_admin1,name,mean,l,u,pmean,ci95,pu,pl,psd
ADM1,ae,United Arab Emirates,86790563B17371688947531,Fujairah,6257,2915,7901,1.7145992468991464,5.188144809825077,2.1603337296606773,0.8027233499040447,1.406376216098553
ADM1,ae,United Arab Emirates,86790563B37713698718491,Ras al-Khaimah,8461,3894,10561,1.6475270132648103,4.93593910778225,2.072530576261507,0.7744905142657467,1.353840648618617
ADM1,ae,United Arab Emirates,86790563B54996462270189,Dubai,70649,34353,89098,2.105031142498649,6.045409091829544,2.648592535742046,1.0262321407038784,1.656273302531614
ADM1,ae,United Arab Emirates,86790563B58312528765661,Umm al-Quwain,2510,1140,3124,1.6509526019325858,5.079308430303534,2.0572160688705607,0.7616521960690613,1.428575667744267
ADM1,ae,United Arab Emirates,86790563B67786511352001,Ajman,8419,3906,10534,1.8805253151257657,5.423790214847629,2.3622412932072585,0.8975201253069444,1.557829023525921
ADM1,ae,United Arab Emirates,86790563B73502863996263,Sharjah,34807,16481,43683,1.881439990256878,5.547818083778277,2.3800808983628534,0.8953018109543113,1.5186268928716558
ADM1,ae,United Arab Emirates,86790563B97851933618166,Abu Dhabi,101558,49147,128936,3.442450332706323,10.66409608780342,4.375553090850125,1.542834900369513,2.8992178404858713
ADM1,al,Albania,10019604B14385436089405,Gjirokaster,4748,2028,6205,10.05730309394499,30.871791016931315,13.125305516268064,4.350478835007848,8.210285234983077
ADM1,al,Albania,10019604B20372483900648,Korce,17654,8231,23279,10.589499158963315,30.527673228014656,13.87300127006316,4.902916124349121,8.073535081840566
ADM1,al,Albania,10019604B22136638040827,Shkoder,17876,7493,23196,9.600539893194297,30.159534108163992,12.533035164536326,4.035806128924567,8.038760987232761
ADM1,al,Albania,10019604B22972194764918,Tirane,96392,46364,124980,9.801730361367774,27.204040371038047,12.759477703682684,4.700301748248881,7.255936409097563
ADM1,al,Albania,10019604B27803245948518,Berat,9235,4212,12184,10.168767302215455,29.658709013440777,13.303348514134129,4.6273718766598915,7.947761802723455
ADM1,al,Albania,10019604B33591651566634,Durres,22255,10251,28894,9.6721353262275,28.07090937464624,12.562543635338285,4.503467983549327,7.37379677083498
ADM1,al,Albania,10019604B42087418903361,Kukes,6945,3003,9126,10.127820427044078,31.59444609567956,13.277231149245818,4.2882795828872275,8.368951730416294
ADM1,al,Albania,10019604B43610350909235,Elbasan,23788,11543,30908,10.21914074115403,28.376114499961773,13.346356812614872,4.913987885205421,7.510348177897216
ADM1,al,Albania,10019604B67805457582776,Fier,26613,12013,34549,9.825227488670302,29.437688873896818,12.787450710637575,4.401362425885877,7.843084597076237
ADM1,al,Albania,10019604B85743215243103,Diber,9574,4545,12490,10.13815107730638,28.123393213952316,13.265498484029134,4.808219169964547,7.538973871406645
ADM1,al,Albania,10019604B92608405951905,Vlore,10056,4217,13216,9.83908332784348,31.077729314351433,12.8877442624383,4.110756119970717,8.3075515185975
