site_id,adm0,adm1,adm2,lat,lon
1,United Arab Emirates,Dubai,··,25.17917356,55.24730684
2,Bangladesh,Khulna,Chuadanga,23.78854575,88.90294757
3,Bangladesh,Khulna,Jessore,23.21884883,89.34452593
4,Bangladesh,Rajshani,Bogra,25.00549558,89.31664965
5,Bangladesh,Rajshani,Rajshahi,24.5752483,88.57496857
6,Bangladesh,Chittagong,Lakshmipur,23.03210313,90.76541568
7,Bangladesh,Khulna,Khulna,22.79784762,89.6411666
8,Bangladesh,Rangpur,Nilphamari,25.78362554,88.89540093
9,Bangladesh,Dhaka,Madaripur,23.16963784,90.2030111
10,Bangladesh,Dhaka,Faridpur,23.58812908,89.83525803
11,Bangladesh,Mymensingh,Sherpur,25.182485,90.06599347
12,Bangladesh,Tripura,Maulvibazar,24.34428395,91.97743905
13,Bangladesh,Mymensingh,Mymensingh,24.73719253,90.50810416
14,Bangladesh,Chittagong,Rangamati,22.50282383,92.20952866
15,Bangladesh,Dhaka,Narsingdi,24.03724553,90.73257346
16,Bangladesh,Rangpur,Kurigram,25.96476014,89.68950864
17,Bangladesh,Chittagong,Cox's Bazar,21.18200378,92.15357485
18,Bangladesh,Dhaka,Narayanganj,23.57238577,90.4926735
19,Bangladesh,Barisal,Bhola,22.18419257,90.76352732
20,Bangladesh,Barisal,Jhalokati,22.63413665,90.26988033
21,Bulgaria,Sofia City,Stolichna,42.66443856,23.34428694
22,Bulgaria,Vratsa,Vratsa,43.19367687,23.57004303
23,Bulgaria,Pleven,Pleven,43.40987406,24.60819555
24,China,Qinghai Province,Delinghashi,38.21506996,94.63163373
25,China,Yunnan Province,Kunmingshi,25.03066325,102.6951702
26,China,Jilin Province,Changchunshi,43.85060333,125.2791005
27,China,Henan Province,Gushi xian,32.17991838,115.6592188
28,China,Henan Province,Nanyangshi,33.03867503,112.5619583
29,China,Zhejiang Province,Ying xian,29.88375493,121.5459928
30,China,Shandong Province,Linqingshi,36.84274312,115.6929966
31,China,Tianjin Municipality,Yutian xian,39.89879826,117.7198869
32,China,Beijing Municipality,Changpingxin,40.25104925,116.1391264
33,China,Guangxi Zhuang Autonomous Region,Jinxiuyao zuzizhi xian,24.14065969,110.1829792
34,China,Jiangsu Province,Shuqianshi,33.97651646,118.2651442
35,China,Shandong Province,Yutai xian,34.93654109,116.7537615
36,China,Jiangxi Province,Jishui xian,27.21767253,115.1307284
37,China,Yunnan Province,Longchuan xian,24.17378958,97.79731855
38,China,Sichuan Province,Wangchang xian,32.23056209,106.282977
39,China,Heilongjiang Province,Jixishi,45.29175935,130.9572052
40,China,Sichuan Province,Leshanshi,29.41809075,103.5479892
41,China,Hunan Province,Shimen xian,29.58600668,111.3638337
42,China,Tianjin Municipality,Tianjinshi,39.14562139,117.2350325
43,China,Shandong Province,Jinanshi,36.64875344,116.9865799
44,China,Shanghai Province,Yangpu,31.32322677,121.5337426
45,China,Sichuan Province,Beichuan xian,32.01635006,104.2038033
46,China,Jiangsu Province,Nanjingshi,32.05254865,118.7739688
47,China,Henan Province,Puyangshi,35.77706468,114.9937862
48,China,Anhui Province,Anqingshi,30.51643833,117.0769623
49,China,Heilongjiang Province,Daqingshi,46.63808905,124.8624933
50,Greece,Thessalia-Central Greece,Thessalias,39.11759516,23.72756128
51,Greece,Thessalia-Central Greece,Thessalias,39.55789125,21.76085097
52,Greece,Attica,Attikis,37.96784967,23.47908203
53,Greece,Crete,Kritis,35.53480865,24.15794603
54,Greece,Thessalia-Central Greece,Thessalias,39.61083068,22.42984444
55,Greece,Thessalia-Central Greece,Stereas Elladas,38.69171988,22.41794993
56,India,Jammu and Kashmir,Srinagar,34.06887154,74.84396068
57,India,Kerala,Thrissur,10.25905625,76.32780849
58,India,Uttar Pradesh,Gorakhpur,26.73107228,83.36883389
59,India,Tamil Nadu,Kanniyakumari,8.186794052,77.43528304
60,India,Rajasthan,Jaipur,26.93729443,75.78964044
61,India,Uttar Pradesh,Allahabad,25.45280565,81.83824498
62,India,Tamil Nadu,Thanjavur,10.42474376,79.31899667
63,India,Rajasthan,Jhunjhunun,28.12630503,75.39977063
64,India,Bihar,Patna,25.58424085,85.16302159
65,India,Jharkhand,Hazaribagh,23.98087179,85.36701934
66,India,Kerala,Thiruvananthapuram,8.542185824,76.96656232
67,India,Kerala,Alappuzha,9.287575398,76.52458465
68,India,Jharkhand,Ranchi,23.33516332,85.31880647
69,India,Madhya Pradesh,Damoh,23.83648252,79.43534445
70,India,Kerala,Kollam,9.021217625,76.91988434
71,India,Bihar,Muzaffarpur,26.12146636,85.35426519
72,India,Tamil Nadu,Madurai,9.939635832,78.12788708
73,Iraq,Salah al-Din,Tooz Khurmato,34.88395529,44.63559279
74,Iraq,Ninawa,Aqra,36.72976688,43.87167493
75,Iraq,Baghdad,Al-Karkh,33.29299178,44.40630784
76,Iraq,Maysan,Al-Kahla,31.83979055,47.14995143
77,Iraq,Karbala,Kerbela,32.62541619,44.03405059
78,Iraq,Wasit,Al-Kut,32.49971983,45.82148482
79,Iraq,Salah al-Din,Tikrit,34.60103857,43.67883978
80,Iraq,Diyala,Khanaqin,34.09741225,45.05867849
81,Iraq,Al-Anbar,Heet,33.63709942,42.82613184
82,Iran,Mazandaran,Sari,36.54456722,53.0680717
83,Iran,East Azerbaijan,Tabriz,37.99784179,46.47102423
84,Iran,Lorestan,Khoramabad,33.49171137,48.37596905
85,Iran,Kurdistan,Sanandaj,35.27632132,47.12097158
86,Iran,Isfahan,Kashan,33.9613453,51.42102856
87,Iran,Kerman,Baft,28.82262317,56.34665849
88,Iran,Alborz,Savojbolagh,35.98522363,50.74115848
89,Iran,Zanjan,Zanjan,36.69378873,48.49581644
90,Iran,Bushehr,Jam,27.82600172,52.35599172
91,Iran,Mazandaran,Amol,35.8510509,52.17166613
92,Iran,Gilan,Rezvanshahr,37.49311485,49.11037783
93,Iran,Razavi Khorasan,Neyshabur,36.20663554,58.79453572
94,Iran,Razavi Khorasan,Mashhad,36.28528285,59.56987593
95,Italy,Toscana,Grosseto,42.68721462,11.33244092
96,Italy,Toscana,Siena,43.36011037,11.31265678
97,Italy,Lazio,Roma,41.77518669,12.92095449
98,Italy,Piemonte,Novara,45.43634249,8.627961443
99,Italy,Puglia,Bari,40.82321522,17.10875699
100,Italy,Emilia-Romagna,Piacenza,45.05152219,9.685110373
101,Italy,Veneto,Vicenza,45.71065292,11.47033673
